businessName,inspectionId,license,facilityType,risk,inspectionDate,inspectionType,pastFail,timeSinceLast,licenseStartDate,expirationDate,address,city,state,zipCode,ward,precinct,policeDistrict,licenseDescription,location,ageAtInspection,consumptionOnPremises,tobaccoRetail,limitedLicense,packageGoods,outdoorPatio,placeOfAmusement,tavern,retailFoodEstablishment,catersLiquorLicense,fillingStation,addressCount,wardCount,districtCount,foodType,burglary,sanitation,garbage,rodents,pastResponse
1155 CAFE,1319523,33354,Restaurant,Risk 1 (High),06/05/2013,Canvass,0,1.093150685,16/07/2011,15/07/2013,1155 E 60TH ST 1ST,CHICAGO,IL,60637,20,w_20_p_34,2,Retail Food Establishment,"(41.78585733608693, -87.5973785211828)",5.726027397,0,0,0,0,0,0,0,0,0,0,1,1,1,breakfast,4.539479205,2.194614759,0.085211668,0.286940519,0
13 PINS TAPAS & GRILL,1271208,2048477,Restaurant,Risk 1 (High),04/06/2012,Canvass,1,0.032876712,24/09/2010,15/12/2012,4202 W IRVING PARK RD 1,CHICAGO,IL,60641,38,w_38_p_5,17,Retail Food Establishment,"(41.953704295569295, -87.73264077374255)",1.695890411,1,0,0,0,0,0,0,0,0,0,1,1,1,dinner,32.9082787,25.62997291,3.250396534,13.90168584,0
1.61 AND THE BAR10DOORS,659700,2013819,Restaurant,Risk 1 (High),14/12/2011,Canvass,0,1.632876712,05/05/2010,15/05/2012,1251-1259 W TAYLOR ST 1ST,CHICAGO,IL,60607,2,w_2_p_25,12,Retail Food Establishment,"(41.86927518164366, -87.65878741012848)",1.611073059,1,0,0,0,1,1,0,0,0,0,1,1,1,unknown,19.47614311,10.04345691,10.76346938,1.926002674,1
175 SOPRAFFINA MARKET CAFFE LLC,614596,1422648,Restaurant,Risk 1 (High),09/11/2011,Canvass,0,0.726027397,16/04/2010,15/04/2012,175 W JACKSON BLVD,CHICAGO,IL,60604,2,w_2_p_49,1,Retail Food Establishment,"(41.878014487249544, -87.63318903001444)",4.487785388,0,0,0,0,0,0,0,0,0,0,1,1,1,grocery,8.399749258,15.91642492,2.29E-05,11.37740867,0
#1 CHOP SUEY,1271460,1970042,Restaurant,Risk 1 (High),30/11/2012,Canvass,0,0.602739726,16/08/2011,15/08/2013,4307 W IRVING PARK RD 1ST,CHICAGO,IL,60641,38,w_38_p_20,17,Retail Food Establishment,"(41.953443449987795, -87.73576333403281)",3.501484018,0,0,0,0,0,0,0,0,0,0,2,2,2,asian,9.711407921,9.794065162,11.26203597,12.46986227,0
1ST UNITED METHODIST CHURCH OF CHICAGO AID SOCIETY,567589,1737191,Other,Risk 1 (High),01/09/2011,Canvass,0,0.879452055,16/03/2010,15/03/2012,77 W WASHINGTON ST  615,CHICAGO,IL,60602,42,w_42_p_9,1,Retail Food Establishment,"(41.883100539501605, -87.63033121191829)",4.298630137,0,0,0,0,0,0,0,0,0,0,1,1,1,unknown,6.323206815,17.63253066,2.35E-05,7.294127564,0
1ST UNITED METHODIST CHURCH OF CHICAGO AID SOCIETY,1345457,1737191,Other,Risk 1 (High),15/08/2013,Canvass,0,1.956164384,16/03/2012,15/03/2014,77 W WASHINGTON ST  615,CHICAGO,IL,60602,42,w_42_p_9,1,Retail Food Establishment,"(41.883100539501605, -87.63033121191829)",6.254794521,0,0,0,0,0,0,0,0,0,0,1,1,1,unknown,9.513533494,23.6151191,1.92E-07,13.13406659,0
#1 WOK N ROLL,1154251,58961,Restaurant,Risk 1 (High),07/03/2012,Canvass,0,0.542465753,16/06/2010,15/06/2012,1408 E 53RD ST,CHICAGO,IL,60615,4,w_4_p_47,2,Retail Food Establishment,"(41.79962568927282, -87.59137367044976)",4.561757991,0,0,0,0,0,0,0,0,0,0,1,1,1,asian,12.89373036,1.522077705,21.15509305,5.082643988,0
2002 DONUTS INC,1292213,1489621,Restaurant,Risk 2 (Medium),28/09/2012,Canvass,0,1.479452055,16/02/2011,15/02/2013,3200 N CLARK ST,CHICAGO,IL,60657,44,w_44_p_20,19,Retail Food Establishment,"(41.93999455649383, -87.65088551466476)",5.619063927,0,0,0,0,0,0,0,0,0,0,1,1,1,breakfast,65.7505369,39.97094585,31.56192229,101.1871078,0
240 CAFE & LOUNGE,1188316,1741971,Other,Risk 3 (Low),16/08/2012,Canvass,0,0.04109589,16/09/2011,15/09/2013,3948 W LAWRENCE AVE 1,CHICAGO,IL,60625,39,w_39_p_12,17,Retail Food Establishment,"(41.968357068238525, -87.72757835154994)",5.38630137,0,0,0,0,0,0,1,0,0,0,1,1,1,bar,11.61145675,27.15357947,9.674001413,28.16546112,0
25 DEGREES,1138954,2104463,Restaurant,Risk 1 (High),20/05/2013,Canvass,0,1.145205479,16/02/2012,15/02/2014,736 N CLARK ST,CHICAGO,IL,60610,42,w_42_p_57,18,Retail Food Establishment,"(41.89593966860199, -87.63137866092413)",1.717808219,0,0,0,0,0,0,1,0,0,0,1,1,1,unknown,59.66429956,17.5844986,1.297363195,15.1997081,0
2 ASIAN BROTHERS,1098820,2098868,Restaurant,Risk 1 (High),05/02/2013,Canvass,0,1.602739726,06/07/2011,15/07/2013,3222 W FOSTER AVE 1,CHICAGO,IL,60625,39,w_39_p_43,17,Retail Food Establishment,"(41.97584741234359, -87.70960355775853)",1.589155251,0,0,0,0,0,0,0,0,0,0,1,1,1,asian,3.544985495,40.62917846,2.059704187,12.70326743,1
312 CHICAGO,1345460,1803058,Restaurant,Risk 1 (High),16/08/2013,Canvass,0,1.95890411,16/09/2012,15/09/2014,136 N LA SALLE ST 1-2,CHICAGO,IL,60602,42,w_42_p_9,1,Retail Food Establishment,"(41.88415863562356, -87.63257719833739)",6.142465753,1,0,0,0,0,0,0,0,1,0,1,1,1,unknown,15.7372779,31.47955981,1.08E-06,9.2472068,1
35TH STREET REDHOTS,1324209,1594380,Restaurant,Risk 2 (Medium),05/12/2012,Canvass,0,1.55890411,16/06/2012,15/06/2014,500 W 35TH ST,CHICAGO,IL,60616,11,w_11_p_39,9,Retail Food Establishment,"(41.83095443385002, -87.63886689866528)",5.309703196,0,0,0,0,0,0,0,0,0,0,1,1,1,unknown,7.88578775,9.42662592,25.86894665,7.506076542,0
43RD DAN RYAN CITGO,529301,61690,Grocery Store,Risk 3 (Low),15/09/2011,Canvass,0,2,16/01/2010,15/01/2012,4300 S WENTWORTH AVE  1ST,CHICAGO,IL,60609,3,w_3_p_18,9,Retail Food Establishment,"(41.81639453372854, -87.6313400897933)",4.580707763,0,1,0,0,0,0,0,0,0,1,1,1,1,mart,14.35213249,12.65032064,10.75412759,16.24199727,0
47TH & CALIFORNIA SHELL,509408,1382605,Grocery Store,Risk 3 (Low),04/11/2011,Canvass,0,2,16/04/2011,15/04/2013,4658 S CALIFORNIA AVE,CHICAGO,IL,60632,12,w_12_p_27,9,Retail Food Establishment,"(41.80836870417712, -87.69435412866963)",4.473972603,0,1,1,0,0,0,0,0,0,1,1,1,1,mart,21.35547929,15.32700413,14.18476537,25.36531837,0
