businessName,inspectionId,license,facilityType,risk,inspectionDate,inspectionType,pastFail,timeSinceLast,licenseStartDate,expirationDate,address,city,state,zipCode,ward,precinct,policeDistrict,licenseDescription,location,ageAtInspection,consumptionOnPremises,tobaccoRetail,limitedLicense,packageGoods,outdoorPatio,placeOfAmusement,tavern,retailFoodEstablishment,catersLiquorLicense,fillingStation,addressCount,wardCount,districtCount,foodType,burglary,sanitation,garbage,rodents,pastResponse,response
MOBIL FOOD MART,1229233,6381,Other,Risk 1 (High),30/05/2012,Canvass,0,0.726027397,16/06/2010,15/06/2012,3901 N BROADWAY,CHICAGO,IL,60613,46,w_46_p_15,19,Retail Food Establishment,"(41.95277256559229, -87.64950743619116)",4.791780822,0,1,0,0,0,0,0,0,0,1,1,1,1,mart,59.12216983,9.737389391,10.08282672,32.685769,0,0
M HENRIETTA,1235275,2037187,Restaurant,Risk 1 (High),11/07/2012,Canvass,0,1.449315068,16/06/2012,15/06/2014,1133-1135 W GRANVILLE AVE 1ST,CHICAGO,IL,60660,48,w_48_p_31,24,Retail Food Establishment,"(41.99445003239287, -87.6596937931052)",1.84109589,0,0,0,0,0,0,0,0,0,0,1,1,1,unknown,34.19799261,22.27188318,6.575097174,35.6359842,0,0
BARBECUE KING RESTAURANT,1228106,32172,Restaurant,Risk 1 (High),19/08/2013,Canvass,0,1.043835616,16/06/2012,15/06/2014,2148 S ARCHER AVE,CHICAGO,IL,60616,25,w_25_p_16,9,Retail Food Establishment,"(41.853510030263166, -87.6337504691269)",6.01369863,0,0,0,0,0,0,0,0,0,0,1,1,1,dinner,24.71012619,9.452416963,23.95875775,19.81711212,1,0
KENTUCKY FRIED CHICKEN,545792,2016979,Restaurant,Risk 2 (Medium),31/01/2012,Canvass,0,1.989041096,16/06/2011,15/06/2013,224 E 103RD ST 1,CHICAGO,IL,60628,9,w_9_p_14,5,Retail Food Establishment,"(41.70736525556146, -87.61757383925458)",1.934246575,0,0,0,0,0,0,0,0,0,0,2,2,2,dinner,47.6979505,10.97707228,42.40207675,8.539384528,0,0
HARRY CARAY'S SEVENTH INNING STRETCH,1227635,1165412,Restaurant,Risk 1 (High),25/10/2012,Canvass,0,0.619178082,16/01/2012,15/01/2014,5700 S CICERO AVE TC19,CHICAGO,IL,60638,23,w_23_p_8,8,Retail Food Establishment,"(41.789329323265385, -87.74164564419637)",5.69303653,1,0,0,0,0,0,0,0,0,0,1,1,1,unknown,1.802807946,1.872041789,0.3615867,1.118123337,0,0
GAELIC IMPORTS,670969,1817934,Grocery Store,Risk 1 (High),29/02/2012,Canvass,0,0.917808219,16/12/2011,15/12/2013,6346 W GUNNISON ST 1,CHICAGO,IL,60630,45,w_45_p_2,16,Retail Food Establishment,"(41.96852535557429, -87.78743940246437)",4.750799087,0,0,1,0,0,0,0,0,0,0,1,1,1,unknown,11.80463296,1.434802202,16.24232252,1.697097267,0,0
TRU,569726,80153,Restaurant,Risk 1 (High),30/11/2011,Canvass,0,1.78630137,16/05/2011,15/05/2013,676 N ST CLAIR ST 1ST SP1,CHICAGO,IL,60611,42,w_42_p_53,18,Retail Food Establishment,"(41.89485296136011, -87.62290180042824)",4.545319635,1,0,0,0,0,0,0,0,0,0,1,1,1,unknown,11.17467233,16.45440712,0.002833462,8.191117435,0,0
EL KAPORAL RESTAURANT,1202557,2178035,Restaurant,Risk 1 (High),14/12/2012,Canvass,0,0.336986301,16/08/2012,15/09/2014,5078 S ARCHER AVE 1ST,CHICAGO,IL,60632,23,w_23_p_25,8,Retail Food Establishment,"(41.801114147503455, -87.72792013428698)",0.328881279,0,0,0,0,0,0,0,0,0,0,1,1,1,dinner,18.80710512,15.25139683,12.76080915,42.85267911,0,0
DRAGON EXPRESS RESTAURANT,1227810,2129313,Restaurant,Risk 1 (High),15/03/2013,Canvass,0,0.882191781,01/12/2011,15/12/2013,225 E 47TH ST 1ST,CHICAGO,IL,60653,3,w_3_p_35,2,Retail Food Establishment,"(41.80921877834854, -87.62003481112403)",1.287557078,0,0,0,0,0,0,0,0,0,0,1,1,1,asian,35.96433794,43.52373903,21.82166444,25.06685239,0,1
CARNICERIA GERARDO'S,1146382,40503,Grocery Store,Risk 1 (High),30/04/2013,Canvass,0,0.536986301,16/06/2011,15/06/2013,3116 W POPE JOHN PAUL II DR,CHICAGO,IL,60632,14,w_14_p_23,9,Retail Food Establishment,"(41.815529359881204, -87.70255656657088)",5.709589041,0,0,0,0,0,0,0,0,0,0,1,1,1,grocery,20.07448513,21.91455682,13.18548521,22.86262264,1,1
WESTIN RIVER NORTH CHGO HOTEL,612547,55247,Restaurant,Risk 1 (High),04/11/2011,Canvass,0,1.019178082,16/02/2010,15/02/2012,320 N DEARBORN ST,CHICAGO,IL,60654,42,w_42_p_55,18,Retail Food Establishment,"(41.88807037763845, -87.62969225672218)",4.717694064,1,0,0,0,0,0,0,0,0,0,4,1,1,cater,16.05581198,17.04554208,1.200385258,3.651823436,0,1
